from_node,to_node,length_m,travel_time_s,fuel_l,co2_g,lanes
27005934,27005940,97.1,11.65,0.0078,18.58,1
27005934,27005931,63.96,7.68,0.0051,12.24,1
27005934,462232489,29.01,3.48,0.0023,5.55,1
27005940,27005934,97.1,11.65,0.0078,18.58,1
27005940,462233161,61.82,7.42,0.0049,11.83,1
27005940,27005945,93.51,11.22,0.0075,17.89,1
27005945,27005940,93.51,11.22,0.0075,17.89,1
27005945,27005948,115.86,13.9,0.0093,22.17,1
27005945,27005872,64.56,7.75,0.0052,12.35,1
27005948,146606818,66.86,8.02,0.0053,12.79,1
27005948,27005931,70.65,8.48,0.0057,13.52,1
27005948,27005945,115.86,13.9,0.0093,22.17,1
27005951,146606818,70.84,8.5,0.0057,13.56,1
27005951,27005873,121.04,14.52,0.0097,23.16,1
27005951,28107529,170.41,20.45,0.0136,32.61,1
27005959,7397550359,16.62,1.99,0.0013,3.18,1
27005959,63000744,97.5,7.02,0.0078,18.66,1
27005963,27005969,56.79,6.81,0.0045,10.87,1
27005963,27005890,146.79,17.61,0.0117,28.09,1
27005963,27005999,162.18,19.46,0.013,31.03,1
27005969,250549548,111.33,13.36,0.0089,21.3,1
27005969,27005963,56.79,6.81,0.0045,10.87,1
27005969,27005989,169.04,20.29,0.0135,32.35,1
27005989,27005969,169.04,20.29,0.0135,32.35,1
27005999,325658389,40.38,4.85,0.0032,7.73,1
27005999,5239256771,147.76,17.73,0.0118,28.27,1
27005999,27005963,162.18,19.46,0.013,31.03,1
27006042,27005959,21.97,2.64,0.0018,4.2,1
27006042,147564907,29.08,2.09,0.0023,5.56,1
27006056,27006057,14.78,1.06,0.0012,2.83,1
27006056,27006069,22.05,1.59,0.0018,4.22,1
27006057,1650974146,515.27,61.83,0.0412,98.6,2
27006069,27005959,34.94,2.52,0.0028,6.69,1
27006069,147564907,26.82,1.93,0.0021,5.13,1
27006076,7397550359,219.23,26.31,0.0175,41.95,1
27006280,654979591,623.06,37.38,0.0498,119.23,3
27006280,536794099,158.87,9.53,0.0127,30.4,2
27006280,71316518,178.42,10.71,0.0143,34.14,3
27006327,71272599,527.24,37.96,0.0422,100.89,2
27006348,27006352,71.01,8.52,0.0057,13.59,1
27006348,8119389328,61.64,7.4,0.0049,11.8,1
27006348,3234266332,123.44,14.81,0.0099,23.62,1
